,neighbourhood_group,price,minimum_nights,number_of_reviews,price_category,availability_365
3537,Manhattan,6000,14,17,High,359
30824,Manhattan,2990,2,69,High,237
32041,Manhattan,2500,3,14,High,150
2018,Manhattan,2500,30,15,High,89
24286,Manhattan,2500,40,17,High,0
4127,Manhattan,2300,3,32,High,139
22407,Manhattan,2250,2,20,High,341
21955,Manhattan,2250,2,21,High,343
8915,Manhattan,2000,1,18,High,365
7477,Brooklyn,2000,40,28,High,0
496,Manhattan,2000,30,30,High,0
1480,Manhattan,2000,30,59,High,364
3306,Manhattan,1999,1,20,High,0
2523,Manhattan,1899,7,18,High,0
24993,Manhattan,1795,1,38,High,116
13724,Manhattan,1731,10,84,High,97
32003,Manhattan,1500,3,15,High,54
35695,Manhattan,1500,4,17,High,32
6277,Manhattan,1500,30,24,High,358
8727,Manhattan,1495,1,11,High,0
5499,Manhattan,1400,90,31,High,88
2236,Brooklyn,1395,1,55,High,362
762,Manhattan,1300,5,28,High,297
40412,Manhattan,1299,2,15,High,273
34117,Manhattan,1250,4,21,High,125
31954,Manhattan,1200,5,13,High,347
20219,Manhattan,1200,1,36,High,354
7846,Manhattan,1200,5,43,High,309
31866,Manhattan,1195,3,27,High,40
10431,Manhattan,1195,3,109,High,264
26443,Manhattan,1177,3,42,High,284
2772,Manhattan,1100,2,17,High,364
14574,Manhattan,1100,2,20,High,268
26781,Manhattan,1100,30,34,High,333
25064,Brooklyn,1095,2,24,High,240
23411,Brooklyn,1067,2,64,High,32
5801,Brooklyn,1050,3,121,High,327
19803,Manhattan,1020,1,12,High,365
35920,Manhattan,1000,4,16,High,66
19236,Manhattan,1000,30,17,High,365
15107,Manhattan,1000,4,19,High,349
15837,Manhattan,1000,2,23,High,240
2355,Manhattan,1000,30,24,High,364
15833,Manhattan,1000,2,24,High,274
2215,Manhattan,1000,1,25,High,37
8530,Manhattan,1000,30,27,High,364
5861,Manhattan,1000,3,38,High,270
1414,Manhattan,1000,30,44,High,364
30916,Manhattan,1000,3,55,High,37
6501,Manhattan,1000,2,95,High,353
15091,Manhattan,999,3,11,High,164
36712,Manhattan,999,1,12,High,213
1899,Manhattan,999,10,30,High,365
15154,Manhattan,999,2,54,High,58
14629,Brooklyn,999,2,94,High,361
10520,Brooklyn,999,2,141,High,67
21220,Manhattan,995,4,20,High,290
7088,Brooklyn,995,2,43,High,328
5956,Brooklyn,985,2,20,High,19
43130,Manhattan,950,3,11,High,251
19905,Brooklyn,950,4,19,High,323
2155,Manhattan,950,3,28,High,357
23624,Manhattan,950,3,36,High,237
4482,Manhattan,950,3,42,High,34
45031,Manhattan,945,2,11,High,264
8522,Manhattan,900,3,13,High,24
9035,Manhattan,900,7,28,High,340
11560,Manhattan,899,6,52,High,287
6397,Manhattan,895,1,66,High,365
2040,Brooklyn,890,3,26,High,341
8805,Manhattan,888,2,42,High,35
5351,Manhattan,860,4,39,High,365
32938,Manhattan,850,5,11,High,45
28150,Manhattan,850,2,14,High,36
28141,Manhattan,850,1,16,High,174
36536,Manhattan,850,1,24,High,269
29994,Manhattan,850,3,27,High,344
19183,Manhattan,850,3,32,High,262
662,Manhattan,850,3,107,High,249
9211,Manhattan,850,1,177,High,268
35415,Manhattan,848,1,19,High,355
7356,Manhattan,825,5,28,High,290
14243,Manhattan,814,3,31,High,353
38920,Manhattan,805,4,19,High,168
28199,Manhattan,800,1,11,High,0
36571,Manhattan,800,2,12,High,220
43653,Manhattan,800,3,13,High,84
22069,Manhattan,800,1,19,High,0
10212,Manhattan,800,30,22,High,266
85,Brooklyn,800,1,25,High,7
25318,Brooklyn,800,30,29,High,0
12801,Brooklyn,800,3,33,High,178
1910,Brooklyn,800,1,34,High,365
35809,Manhattan,800,2,36,High,90
21241,Brooklyn,800,1,43,High,55
15015,Manhattan,800,3,59,High,263
1201,Brooklyn,800,3,60,High,67
780,Brooklyn,800,4,122,High,257
